FT made,FT attempted,Session FT Percentage
16.0,20.0,80.0
9.0,12.0,75.0
15.0,20.0,75.0
22.0,25.0,88.0
20.0,23.0,87.0
38.0,44.0,86.0
27.0,32.0,84.0
18.0,25.0,72.0
26.0,35.0,74.0
26.0,30.0,87.0
77.0,88.0,88.0
32.0,41.0,78.0
26.0,30.0,87.0
88.0,107.0,82.0
15.0,20.0,75.0
17.0,21.0,81.0
38.0,55.0,69.0
40.0,50.0,80.0
18.0,20.0,90.0
15.0,20.0,75.0
35.0,41.0,85.0
25.0,35.0,71.0
15.0,20.0,75.0
30.0,34.0,88.0
20.0,25.0,80.0
16.0,23.0,70.0
74.0,94.0,79.0
9.0,12.0,75.0
13.0,20.0,65.0
64.0,80.0,80.0
10.0,12.0,83.0
11.0,13.0,85.0
11.0,12.0,92.0
32.0,38.0,84.0
12.0,15.0,80.0
67.0,77.0,87.0
62.0,74.0,84.0
19.0,30.0,63.0
12.0,13.0,92.0
17.0,20.0,85.0
31.0,40.0,78.0
40.0,48.0,83.0
31.0,43.0,72.0
44.0,54.0,81.0
27.0,36.0,75.0
15.0,20.0,75.0
29.0,33.0,88.0
36.0,40.0,90.0
16.0,20.0,80.0
23.0,25.0,92.0
